DFT Energies (meV)
-68.019
-105.6875
-57.56099997
-73.54599997
-100.5566667
-48.14733333
-56.52366663
-84.70600003
-51.439
-62.548
-71.59025
-75.04075
-77.15725
-51.275
-68.9805
-78.214
-102.108
-69.793
-35.979
-37.84575
-54.9485
-60.4735
-46.386
-62.748
-31.10475
-72.5335
-43.348
-41.0712
-52.8932
-61.3428
-62.594
-44.23
-65.5548
-73.8164
-99.3022
-61.4826
-72.6948
-110.7668
-77.4356
-39.6996
-53.5174
-60.78
-95.9074
-54.2918
-65.3884
-98.3982
-64.4542
-26.8902
-31.0302
-43.6068
-46.8056
-61.27
-87.8584
-80.554
-46.4234
-37.76416663
-46.54166663
-46.44000003
-46.67783333
-51.65816663
-54.05100003
-50.70916663
-53.29766663
-53.75983333
-53.45300003
-33.82149997
-62.03183337
-67.79133337
-60.51699997
-82.65449997
-75.52583337
-84.75233337
-68.55049997
-79.50799997
-97.40316667
-52.08149997
-68.30916667
-67.57716667
-87.44166667
-80.47933337
-88.35499997
-76.62933337
-89.16349997
-79.00416667
-78.47366667
-35.2261667
-56.5253333
-68.6801667
-59.0701667
-74.1696667
-87.41
-91.3993333
-69.5755
-70.3371667
-112.7731667
-53.647
-68.519
-62.5623333
-94.4038333
-95.6161667
-71.7438333
-78.9475
-76.5778333
-94.5493333
-74.3823333
-32.96233333
-42.48816663
-50.83766663
-44.91050003
-64.59083333
-60.47383333
-74.61533333
-45.53766663
-60.14133333
-82.49216663
-43.55116663
-47.18466663
-47.32483333
-73.09016663
-57.92233333
-68.57833333
-55.82683333
-64.57200003
-56.39366663
-55.55683333
-24.53266667
-23.54716667
-24.98766667
-38.15349997
-34.64699997
-31.09399997
-35.38599997
-29.12183337
-33.51699997
-33.96816667
